STATES/UTs,2012-13,2013-14,2014-15,2015-16 (Provisional)
ANDAMAN NICOBAR,5.88,5.88,5.88,5.88
ANDHRA PRADESH,0.27,0.26,0.34,1.8
ASSAM,72.58,74.04,74.04,74.78
GOA,2.87,2.9,2.9,2.9
KARNATAKA,358.61,348.77,457.56,436.29
KERALA,96.3,113.36,125.93,102.2
MAHARASHTRA,3.58,3.58,3.58,3.48
MEGHALAYA,19.83,24.68,24.68,25.73
MIZORAM,4.32,4.32,7.27,7.27
NAGALAND,0.12,0.12,0.12,0.12
PUDUCHERRY,0.08,0.08,0.08,0.08
TAMIL NADU,13.2,13.2,13.2,9.79
TRIPURA,9.92,9.92,9.92,9.92
WEST BENGAL,21.16,21.16,21.16,22.66
TOTAL,608.72,622.27,746.66,702.9
